,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
ISG15,0.44543148338254346,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.0001385431437298723,0.0,0.0,0.020627062706270627
HMGN2,0.43318669761834666,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.360545603852983e-05,0.0,0.0,0.020627062706270627
IFI6,0.38712277053401556,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00012416775653236606,0.0,0.0,0.020627062706270627
STMN1,0.3611952506057879,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00011425829919304579,0.0,0.0,0.020627062706270627
C1QB,0.33403892640827393,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.927442586459641e-05,0.0,0.0,0.020627062706270627
MARCKSL1,0.315471250878955,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.91914675121356e-05,0.0,0.0,0.020627062706270627
C1QA,0.3153571684991804,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.541645651779142e-05,0.0,0.0,0.020627062706270627
LDLRAP1,0.2715616752938976,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00010860314649913008,0.0,0.0,0.020627062706270627
C1QC,0.24963128815881036,0.0,8.276118070182608e-05,0.0,0.009900990099009901,7.536653440415554e-05,0.0,0.0,0.020627062706270627
TNFRSF25,0.21692216338567002,0.0,8.276118070182608e-05,0.0,0.009900990099009901,9.622081364161018e-05,0.0,0.0,0.020627062706270627
PLA2G2D,0.1524315502222963,0.0,8.276118070182608e-05,0.0,0.009900990099009901,6.456902988213551e-05,0.0,0.0,0.020627062706270627
FUCA1,0.15225171904109347,0.0,8.276118070182608e-05,0.0,0.009900990099009901,6.716731876473243e-05,0.0,0.0,0.020627062706270627
PLA2G2A,0.12420566158272729,0.0,8.276118070182608e-05,0.0,0.009900990099009901,9.038159913441344e-05,0.0,0.0,0.020627062706270627
BMP8A,0.10966837534888542,0.0,8.276118070182608e-05,0.0,0.009900990099009901,4.455554401076703e-05,0.0,0.0,0.020627062706270627
HSPB7,0.09730059909948828,0.0,8.276118070182608e-05,0.0,0.009900990099009901,3.858308185457173e-05,0.0,0.0,0.020627062706270627
TNFRSF9,0.08119228225120277,0.0,8.276118070182608e-05,0.0,0.009900990099009901,5.337674310383672e-05,0.0,0.0,0.020627062706270627
GJA4,0.07045949241056491,3.885780586188048e-15,8.276118070182608e-05,0.0,0.009900990099009901,6.149744123730133e-05,2.2857532859929693e-14,0.0,0.020627062706270627
HEYL,0.0681850188288755,2.6867397195928788e-14,8.276118070182608e-05,0.0,0.009900990099009901,4.944218964481019e-05,1.4926331775515995e-13,0.0,0.020627062706270627
SLC2A5,0.06653773039581294,1.0580425424677742e-13,8.276118070182608e-05,0.0,0.009900990099009901,5.7517684171660046e-05,5.568644960356707e-13,0.0,0.020627062706270627
EFHD2,0.061386080782619375,6.221134718487065e-12,8.276118070182608e-05,0.0,0.009900990099009901,4.798086034905769e-05,3.1105673592435323e-11,0.0,0.020627062706270627
LSM10,0.05937855872561193,2.7949864644938316e-11,8.276118070182608e-05,2.9976021664879227e-15,0.009900990099009901,5.756743720745975e-05,1.330945935473253e-10,1.427429603089487e-14,0.020627062706270627
MEGF6,0.05037791272339764,1.3112415597760219e-08,8.276118070182608e-05,4.650835272457243e-12,0.009900990099009901,5.450654283417166e-05,5.960188908072827e-08,2.1140160329351105e-11,0.020627062706270627
PDE4B,0.04561693590573415,2.3083056366335342e-07,8.276118070182608e-05,3.726552399996308e-11,0.009900990099009901,5.079101663822982e-05,1.003611146362406e-06,1.5527301666651283e-10,0.020627062706270627
ALPL,0.04410575566543517,5.427074060149195e-07,8.276118070182608e-05,3.292477401828364e-11,0.009900990099009901,4.724535959150816e-05,2.261280858395498e-06,1.431511913838419e-10,0.020627062706270627
HES4,0.03986039410497082,5.196669562113065e-06,8.276118070182608e-05,1.8877404528439e-08,0.009900990099009901,5.1961859193449704e-05,2.078667824845226e-05,7.5509618113756e-08,0.020627062706270627
CLSTN1,0.03809580532713501,1.249687668092303e-05,8.276118070182608e-05,5.05331219091687e-08,0.009900990099009901,5.097894627060882e-05,4.7472348531620274e-05,1.8715971077469887e-07,0.020627062706270627
TNFRSF4,0.03804375503930207,1.2817534103537476e-05,8.276118070182608e-05,7.852666228380656e-08,0.009900990099009901,5.52555835991279e-05,4.7472348531620274e-05,2.707815940820916e-07,0.020627062706270627
MRPL20,0.037281064450217075,1.8512775461054787e-05,8.276118070182608e-05,2.5080991838954958e-08,0.009900990099009901,4.55551672601926e-05,6.61170552180528e-05,9.646535322674984e-08,0.020627062706270627
ATP6V0B,0.036363109447919865,2.8561134491567053e-05,8.276118070182608e-05,2.177024175376019e-07,0.009900990099009901,4.855213339970084e-05,9.848667066057606e-05,7.022658630245222e-07,0.020627062706270627
MXRA8,0.03579675650507178,3.714066075222178e-05,8.276118070182608e-05,5.324722318622577e-08,0.009900990099009901,4.7593656442842585e-05,0.00012380220250740592,1.9016865423652059e-07,0.020627062706270627
THRAP3,0.03547692761569163,4.300912889243502e-05,8.276118070182608e-05,1.3369905871307708e-07,0.009900990099009901,4.96953196495124e-05,0.00013873912545946782,4.456635290435903e-07,0.020627062706270627
SYNC,0.03228146263533967,0.00017462672308055094,8.276118070182608e-05,1.979528027273858e-06,0.009900990099009901,4.815493192000229e-05,0.0005457085096267217,6.186025085230806e-06,0.020627062706270627
OSBPL9,0.0301870449583641,0.00041066405082323953,8.276118070182608e-05,3.456322839123782e-05,0.009900990099009901,5.609640560592281e-05,0.0012444365176461803,9.52472002272112e-05,0.020627062706270627
ZMYM6,0.029749670724466857,0.0004878735201679918,8.276118070182608e-05,8.53672129075278e-06,0.009900990099009901,4.786860037589451e-05,0.0014349221181411522,2.5868852396220543e-05,0.020627062706270627
MAP7D1,0.029529244313866887,0.0005316895505422803,8.276118070182608e-05,2.8744572325600792e-05,0.009900990099009901,5.4494921763195405e-05,0.0015191130015493723,8.212734950171656e-05,0.020627062706270627
PLEKHM2,0.028688372673575047,0.0007344275564300506,8.276118070182608e-05,3.7618582438891934e-05,0.009900990099009901,5.051964270253735e-05,0.0020400765456390297,9.89962695760314e-05,0.020627062706270627
RCC1,0.025971812373162085,0.0019748190731797566,8.276118070182608e-05,3.524146408406814e-05,0.009900990099009901,4.139286940253984e-05,0.005337348846431775,9.52472002272112e-05,0.020627062706270627
ACADM,0.02481573985442753,0.0029339085196218306,8.276118070182608e-05,2.5870036323261125e-05,0.009900990099009901,3.7240132367124595e-05,0.00772081189374166,7.60883421272386e-05,0.020627062706270627
NOL9,0.023979661290831934,0.003870368816111025,8.276118070182608e-05,0.00035840840386591744,0.009900990099009901,5.267863027783026e-05,0.009889070231754171,0.0008960210096647936,0.020627062706270627
USP48,0.023912886422660255,0.0039556280927016685,8.276118070182608e-05,0.00023774536757026343,0.009900990099009901,4.735854305110151e-05,0.009889070231754171,0.000609603506590419,0.020627062706270627
AC104170.1,0.023466595278307658,0.0045699499669344945,8.276118070182608e-05,0.0004934437927449631,0.019801980198019802,4.8052495440171466e-05,0.011146219431547548,0.0012035214457194222,0.03667033370003667
ECHDC2,0.022430258173229745,0.006335945160385936,8.276118070182608e-05,0.0011950086816083783,0.009900990099009901,5.1889374961585284e-05,0.01508558371520461,0.0027790899572287865,0.020627062706270627
MYSM1,0.020836261732577844,0.010234349024537681,8.276118070182608e-05,0.0009437013540763983,0.009900990099009901,4.567662616061928e-05,0.023800811684971352,0.0022469079858961865,0.020627062706270627
WLS,0.019038199282639667,0.017003188745215003,8.276118070182608e-05,0.0020210980717247917,0.009900990099009901,4.5385465219887095e-05,0.038643610784579556,0.004491329048277315,0.020627062706270627
AGMAT,0.01758838465415743,0.024961170767032526,8.276118070182608e-05,0.007332434197129478,0.009900990099009901,4.5509710970371905e-05,0.05546926837118339,0.014100834994479765,0.020627062706270627
DNAJC8,0.017331547876050846,0.026655283975760224,8.276118070182608e-05,0.002657245727808677,0.009900990099009901,3.919268407012705e-05,0.05794626951252223,0.005776621147410167,0.020627062706270627
ACOT7,0.01707832603329002,0.028418524049750205,8.276118070182608e-05,0.0018583510984618856,0.009900990099009901,3.414116482948027e-05,0.060464944786702564,0.004223525223777013,0.020627062706270627
ARHGEF19,0.016903470635406356,0.02969188568226111,8.276118070182608e-05,0.0038612401325360812,0.019801980198019802,4.010221244222448e-05,0.06185809517137732,0.00788008190313486,0.03667033370003667
FAM229A,0.016696817628326987,0.0312574871845247,8.276118070182608e-05,0.0052103568974886105,0.019801980198019802,4.446467568306137e-05,0.06379079017249939,0.01021638607350708,0.03667033370003667
MRPL20-AS1,0.016533450276593652,0.03254294263730351,8.276118070182608e-05,0.004440167528112604,0.0297029702970297,3.929402795989199e-05,0.06497009806233826,0.008880335056225208,0.05211047420531527
RBP7,0.01586855494588882,0.0382320862482155,8.276118070182608e-05,0.017860102197111427,0.0297029702970297,4.676363954864006e-05,0.07352324278502981,0.03133351262651128,0.05211047420531527
TMEM222,0.01573255100733531,0.03949037256183141,8.276118070182608e-05,0.01646606426142827,0.019801980198019802,5.434833828017855e-05,0.07451013690911587,0.029403686181121907,0.03667033370003667
TM2D1,0.014690415900258751,0.05028704742926127,8.276118070182608e-05,0.016461953589435363,0.019801980198019802,4.4653144799139504e-05,0.09143099532592956,0.029403686181121907,0.03667033370003667
SSU72,0.013501748908083032,0.06534131071412141,8.276118070182608e-05,0.04314492625799993,0.0594059405940594,5.518527513109951e-05,0.11668091198950252,0.07399315452073978,0.10068803490518544
MTFR1L,0.01229200520101767,0.08403413641527568,8.276118070182608e-05,0.015550842670026821,0.019801980198019802,3.670628158225258e-05,0.1448864420953029,0.02879785679634596,0.03667033370003667
CITED4,0.010837011706548988,0.11151684399266903,8.276118070182608e-05,0.04365596116723647,0.06930693069306931,3.945656375570878e-05,0.18901159998757464,0.07399315452073978,0.11361791916896609
ACAP3,0.010565033955159068,0.11729768623580328,8.276118070182608e-05,0.06219765763826768,0.06930693069306931,4.835365285330226e-05,0.1954961437263388,0.10031880264236723,0.11361791916896609
CASP9,0.0100149976775857,0.1296297581845649,8.276118070182608e-05,0.04478894462031602,0.0594059405940594,4.1077571096976824e-05,0.2125078003025654,0.07464824103386003,0.10068803490518544
GJB3,0.008242448587192917,0.17533255266519288,8.276118070182608e-05,0.0561894951955868,0.09900990099009901,3.545355096676746e-05,0.27395711353936386,0.0921139265501423,0.15232292460015232
PITHD1,0.00805229732003078,0.18077960137637028,8.276118070182608e-05,0.0927049512078093,0.1188118811881188,4.2353632708062286e-05,0.2781224636559543,0.14262300185816815,0.17733116595241613
ORC1,0.007387594748604363,0.2006414326063044,8.276118070182608e-05,0.14186616864513835,0.1485148514851485,4.189568728445308e-05,0.29851631028206077,0.20266595520734051,0.2152389151958674
AL109917.1,0.007311655485882896,0.20299109099180135,8.276118070182608e-05,0.2516409987247459,0.19801980198019803,7.402560397897695e-05,0.29851631028206077,0.3226166650317255,0.26055237102657636
AL021155.5,0.00690081939457695,0.21598509003967803,8.276118070182608e-05,0.1375477947169632,0.15841584158415842,4.5351778760393086e-05,0.3085501286281115,0.19934463002458438,0.22630834512022632
FNDC10,0.006271493121675355,0.23679578410662372,8.276118070182608e-05,0.20474354249590965,0.16831683168316833,4.495317643086794e-05,0.33351518888256865,0.2784012132863505,0.2370659601171385
AGO3,0.005697642368069333,0.25669492926395066,8.276118070182608e-05,0.10280051405502533,0.09900990099009901,3.3912855834807845e-05,0.3516368894026721,0.15575835462882626,0.15232292460015232
GABRD,0.0055783535038478466,0.26093811068619177,8.276118070182608e-05,0.20880090996476286,0.21782178217821782,4.062651975666412e-05,0.35261906849485375,0.2784012132863505,0.27925869510027923
OTUD3,0.0049163230138817805,0.2851248168919086,8.276118070182608e-05,0.18177229613128731,0.19801980198019803,3.9371550117950664e-05,0.3801664225225448,0.2524615224045657,0.26055237102657636
TMEM35B,0.004693610832943958,0.29349508782443556,8.276118070182608e-05,0.2083634501043038,0.19801980198019803,4.155041709624647e-05,0.3861777471374152,0.2784012132863505,0.26055237102657636
MUTYH,0.004306032073100673,0.3083266225423278,8.276118070182608e-05,0.28228801437672135,0.25742574257425743,5.703445498533655e-05,0.4004241851199062,0.3485037214527424,0.31780955873365113
RNF11,0.004005778729096724,0.3200372746553427,8.276118070182608e-05,0.33948163661729314,0.3465346534653465,4.7603928462483896e-05,0.40511047424726926,0.3902087777210266,0.3983156936383293
AGO1,0.003196912285310787,0.3524620351017037,8.276118070182608e-05,0.3046825761992453,0.3564356435643564,4.202837055161156e-05,0.417862784360935,0.36708744120391007,0.40504050405040504
DOCK7,0.0026096157537586094,0.3767131189014886,8.276118070182608e-05,0.33693348245901766,0.33663366336633666,4.2450158667621856e-05,0.4380385103505682,0.3902087777210266,0.39603960396039606
TMEM51,0.0016389381843974185,0.41783878431137067,8.276118070182608e-05,0.44621469948586245,0.4158415841584158,4.748010989268083e-05,0.4662375887208628,0.46480697863110676,0.45200172191132154
WASF2,0.0013974880616864044,0.42822904071395107,8.276118070182608e-05,0.4737232205375461,0.504950495049505,4.008438946378027e-05,0.4662375887208628,0.4877867183979806,0.504950495049505
HMGCL,0.0010990057658801758,0.44114187982967057,8.276118070182608e-05,0.4808041776048858,0.4752475247524752,4.7107119139768236e-05,0.4662375887208628,0.4877867183979806,0.4899459018066755
MRPS15,0.001052086849852264,0.44317773750702727,8.276118070182608e-05,0.4368262670337857,0.42574257425742573,3.888515504576946e-05,0.4662375887208628,0.4647087947167933,0.45778771425529646
SLC66A1,0.0009855170382480226,0.44606882995644437,8.276118070182608e-05,0.4829088512140008,0.4752475247524752,5.534619960756321e-05,0.4662375887208628,0.4877867183979806,0.4899459018066755
AKR1A1,-0.00018450320984306676,0.4972121202990766,8.276118070182608e-05,0.48971493059707905,0.49504950495049505,5.072552890214401e-05,0.4972121202990766,0.48971493059707905,0.5000500050005
ZNF436,-0.0003957073905667607,0.49352630465634173,8.276118070182608e-05,0.3759494501386872,0.38613861386138615,4.7154885910961455e-05,0.4972121202990766,0.4224151125153789,0.4243281471004243
PERM1,-0.0008898249577203767,0.4718809348356707,8.276118070182608e-05,0.44352005981658443,0.1782178217821782,1.724546806524866e-05,0.4815111579955823,0.46480697863110676,0.24752475247524752
SCP2,-0.0008998524474464254,0.4714423118341202,8.276118070182608e-05,0.411225263986023,0.44554455445544555,3.685121866036838e-05,0.4815111579955823,0.44698398259350325,0.473983568569623
TRIM63,-0.0014467164055377226,0.44758808517202825,8.276118070182608e-05,0.391910111572066,0.37623762376237624,6.236519211701074e-05,0.4662375887208628,0.4354556795245178,0.41804180418041803
AL161644.1,-0.001572008513032275,0.44214627912836546,8.276118070182608e-05,0.4251866701058928,0.3069306930693069,1.5158306477427513e-05,0.4662375887208628,0.4571899678557987,0.36979601574615295
LINC01141,-0.0016908702822417952,0.4369938171659421,8.276118070182608e-05,0.39690769009454496,0.4752475247524752,2.9308829589582642e-05,0.4662375887208628,0.43616229680719226,0.4899459018066755
MYOM3,-0.002245364329842646,0.4131120620332478,8.276118070182608e-05,0.3561751106345623,0.48514851485148514,5.1485954015933966e-05,0.4662375887208628,0.4047444439029117,0.49504950495049505
ZMYND12,-0.002813275201816207,0.38898210793609755,8.276118070182608e-05,0.32506533715578134,0.37623762376237624,2.8465515858911434e-05,0.4471058711909167,0.3824298084185663,0.41804180418041803
SVBP,-0.00362648987274954,0.35518336670679473,8.276118070182608e-05,0.29527086059812363,0.32673267326732675,4.912261008336539e-05,0.417862784360935,0.36008641536356545,0.388967468175389
GALE,-0.0037865261850067817,0.348654645869509,8.276118070182608e-05,0.26296762835076504,0.3069306930693069,4.058318495153766e-05,0.417862784360935,0.32870953543845627,0.36979601574615295
PLEKHN1,-0.0038212776159974103,0.3472427768819281,8.276118070182608e-05,0.3179161215613928,0.3465346534653465,3.2500272165174984e-05,0.417862784360935,0.3784715732873724,0.3983156936383293
NSUN4,-0.004028584266605976,0.3388649662553005,8.276118070182608e-05,0.2247864863868928,0.24752475247524752,4.849754838709214e-05,0.417862784360935,0.2919305018011595,0.3094059405940594
DLGAP3,-0.004326634916667944,0.32695922040021774,8.276118070182608e-05,0.22193940010896124,0.21782178217821782,3.387297845911471e-05,0.40869902550027215,0.2919305018011595,0.27925869510027923
MED18,-0.0046049891535304074,0.31599680970485855,8.276118070182608e-05,0.25764992456972013,0.22772277227722773,3.781611893770177e-05,0.40511047424726926,0.32613914502496216,0.28825667376864267
BTBD19,-0.00646805904445879,0.2470772486266678,8.276118070182608e-05,0.17293399777944268,0.18811881188118812,4.4692792998488725e-05,0.3431628453148164,0.24356901095696154,0.25769700257697004
PEX10,-0.007696487399751911,0.20646511117468985,8.276118070182608e-05,0.13679971654461165,0.12871287128712872,4.0966537921195984e-05,0.29922479880389835,0.19934463002458438,0.18928363424577752
TMEM200B,-0.007931215721564168,0.19918109671001294,8.276118070182608e-05,0.11716381768786416,0.1188118811881188,3.673353163101496e-05,0.29851631028206077,0.17487136968337932,0.17733116595241613
NBPF1,-0.00943025896354535,0.15640855775954277,8.276118070182608e-05,0.06366512249182321,0.0891089108910891,3.9176656838791534e-05,0.24826755199927422,0.10105574998702097,0.14144271570014144
EIF2B3,-0.00984874485483801,0.14563732144991126,8.276118070182608e-05,0.07173463560004328,0.0891089108910891,4.809737373232809e-05,0.234898905564373,0.11208536812506763,0.14144271570014144
PER3,-0.013242661230974898,0.07658876053120033,8.276118070182608e-05,0.012977767411038402,0.0297029702970297,3.4250241934789774e-05,0.1343662465459655,0.024486353605732834,0.05211047420531527
PHF13,-0.015783588026172735,0.043845786606104546,8.276118070182608e-05,0.0033255223615131038,0.009900990099009901,3.6950522728234006e-05,0.08119590112241581,0.006928171586485633,0.020627062706270627
TMEM39B,-0.01695617741398749,0.033134750011792516,8.276118070182608e-05,0.0031825971253410306,0.009900990099009901,3.406273105679259e-05,0.06497009806233826,0.006771483245406449,0.020627062706270627
